,Player,Team,Position,FPts,GP,GS,Min,MCS,W,CS,SA,STA,GA,GAIB,GAOB,Sv,SvIB,SvOB,YC,RC,FC,FS,ErS,ErG,Pen,DP,PKGA,PKS,PKF,PKD,PKM,SubOn,SubOff,TkW,DIS,Tu,G,A,KP,PA,AP,C,Int,IntB,CLRA,CLR,CoS,OO,DW,DL,AER,AERL,AC,ACNC,LBA,HCA,HCS,Sm,Pu,OG,SOT,LB,Date
84,Dean Henderson,SHU,G,10.08,1,1,90,0,0,0,11,7,1,1,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,18,2019-09-14
85,Kepa Arrizabalaga,CHE,G,7.62,1,1,90,0,1,0,12,5,2,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,31,0,1,1,0,0,0,0,0,0,0,0,0,0,11,1,1,0,0,0,0,18,2019-09-14
86,Kasper Schmeichel,LEI,G,7.44,1,1,90,0,0,0,10,5,1,1,0,4,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,28,22,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,16,2019-09-14
87,Nick Pope,BUR,G,7.24,1,1,90,0,0,0,14,5,1,1,0,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,12,0,0,0,2,2,0,0,3,0,3,0,0,0,5,2,1,1,1,0,0,30,2019-09-14
88,Martin Dubravka,NEW,G,4.16,1,1,90,0,0,0,21,8,3,3,0,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,8,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,22,2019-09-14
89,Adrian,LIV,G,3.38,1,1,90,0,1,0,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2019-09-14
90,Mat Ryan,BHA,G,-1.58,1,1,90,0,0,0,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,21,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,16,2019-09-14
91,Vicente Guaita,CRY,G,-2.58,1,1,90,0,0,0,14,6,4,4,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,21,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,24,2019-09-14
92,Ederson,MCI,G,-5.66,1,1,90,0,0,0,7,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,2019-09-14
93,Rui Patricio,WOL,G,-7.76,1,1,90,0,0,0,15,6,5,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,1,0,0,0,0,7,2019-09-14
94,Aaron Ramsdale,BOU,G,12.36,1,1,90,0,1,0,14,5,1,1,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,18,0,0,0,3,3,0,0,1,0,0,0,0,0,6,0,0,0,2,0,0,19,2019-09-15
95,Bernd Leno,ARS,G,10.84,1,1,90,0,0,0,31,10,2,2,0,8,3,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,25,17,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,9,2019-09-15
96,Jordan Pickford,EVE,G,0.42,1,1,90,0,0,0,13,6,3,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,21,0,0,0,1,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,26,2019-09-15
97,Ben Foster,WAT,G,0.1,1,1,90,0,0,0,7,4,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,2019-09-15
98,Lukasz Fabianski,WHU,G,15.34,1,1,90,90,0,1,10,5,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,17,0,0,0,2,2,0,0,1,0,1,0,0,0,14,0,0,0,1,0,0,24,2019-09-16
99,Tom Heaton,AVL,G,7.28,1,1,90,90,0,1,13,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,2019-09-16
100,Aaron Ramsdale,BOU,G,22.3,1,1,90,0,1,0,25,7,1,1,0,6,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,22,2019-09-20
101,Angus Gunn,SOU,G,-5.78,1,1,90,0,0,0,6,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,0,0,0,1,1,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,11,2019-09-20
102,Ederson,MCI,G,19.44,1,1,90,90,1,1,5,4,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,22,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,3,2019-09-21
103,Dean Henderson,SHU,G,14.66,1,1,90,90,1,1,16,3,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,8,0,0,0,3,3,0,0,1,0,1,0,0,0,8,1,1,0,1,0,0,26,2019-09-21
104,Nick Pope,BUR,G,14.1,1,1,90,90,1,1,11,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,2,2,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,12,2019-09-21
105,Mat Ryan,BHA,G,13.72,1,1,90,90,0,1,11,4,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,36,0,0,0,0,0,0,0,1,0,1,0,0,0,6,2,2,0,0,0,0,9,2019-09-21
106,Kasper Schmeichel,LEI,G,9.38,1,1,90,0,1,0,11,4,1,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,19,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,2,0,0,0,0,19,2019-09-21
107,Martin Dubravka,NEW,G,9.22,1,1,90,90,0,1,16,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,0,0,0,0,0,0,0,1,0,1,0,0,0,5,1,1,0,0,0,0,20,2019-09-21
108,Paulo Gazzaniga,TOT,G,6.36,1,1,90,0,0,0,16,7,2,1,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,2019-09-21
109,Tim Krul,NOR,G,6.36,1,1,90,0,0,0,13,6,2,2,0,4,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,18,0,0,0,0,0,0,0,2,0,0,0,0,0,4,2,2,0,0,0,0,21,2019-09-21
110,Jordan Pickford,EVE,G,-3.62,1,1,90,0,0,0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,14,2019-09-21
111,Ben Foster,WAT,G,-10.38,1,1,90,0,0,0,28,11,8,7,1,3,1,2,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,31,6,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,0,28,2019-09-21
112,Lukasz Fabianski,WHU,G,16.2,1,1,90,90,1,1,9,3,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10,0,1,1,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,21,2019-09-22
113,Bernd Leno,ARS,G,13.82,1,1,90,0,1,0,14,9,2,2,0,7,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,2019-09-22
114,Rui Patricio,WOL,G,7.3,1,1,90,0,0,0,14,5,1,1,0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,10,2019-09-22
115,Adrian,LIV,G,5.42,1,1,90,0,1,0,13,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,21,0,0,0,2,2,0,0,2,0,2,0,0,0,7,2,1,0,1,0,0,17,2019-09-22
116,David de Gea,MUN,G,4.36,1,1,90,0,0,0,8,6,2,1,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2019-09-22
117,Vicente Guaita,CRY,G,4.18,1,1,90,0,0,0,13,4,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,0,0,0,1,1,0,0,1,0,1,0,0,0,3,1,1,0,1,0,0,17,2019-09-22
118,Tom Heaton,AVL,G,0.2,1,1,90,0,0,0,21,6,3,2,1,3,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,22,10,0,0,0,1,1,0,0,0,0,0,0,0,0,5,1,1,0,1,0,0,17,2019-09-22
119,Kepa Arrizabalaga,CHE,G,-1.58,1,1,90,0,0,0,6,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,21,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,15,2019-09-22
120,Rui Patricio,WOL,G,20.16,1,1,90,90,1,1,14,5,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,14,2019-09-28
121,Vicente Guaita,CRY,G,16.16,1,1,90,90,1,1,10,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8,0,0,0,3,3,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,21,2019-09-28
122,Ederson,MCI,G,15.34,1,1,90,0,1,0,12,7,1,1,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,6,2019-09-28
123,Kepa Arrizabalaga,CHE,G,13.64,1,1,90,90,1,1,8,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,32,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,12,2019-09-28
124,Hugo Lloris,TOT,G,13.34,1,1,90,0,1,0,14,6,1,1,0,5,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,17,0,0,0,1,1,0,0,0,1,0,0,0,0,7,1,1,0,1,0,0,19,2019-09-28
125,Adrian,LIV,G,12.94,1,1,90,90,1,1,12,2,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,22,0,0,0,1,1,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,11,2019-09-28
126,Mat Ryan,BHA,G,12.58,1,1,90,0,0,0,24,10,2,2,0,8,7,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,38,29,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,1,1,0,0,12,2019-09-28
127,Jordan Pickford,EVE,G,4.5,1,1,90,0,0,0,19,8,3,2,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36,25,0,0,0,1,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,21,2019-09-28
128,Aaron Ramsdale,BOU,G,4.22,1,1,90,0,0,0,17,6,2,2,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,2019-09-28
129,Dean Henderson,SHU,G,4.18,1,1,90,0,0,0,16,4,1,0,1,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,29,2019-09-28
130,Roberto Jimenez,WHU,G,4.04,1,0,56,0,0,0,11,4,1,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2019-09-28
131,Angus Gunn,SOU,G,0.2,1,1,90,0,0,0,9,4,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,6,2019-09-28
132,Ralf Fahrmann,NOR,G,0.1,1,1,22,0,0,0,5,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2019-09-28
133,Ben Foster,WAT,G,-1.7,1,1,90,0,0,0,7,3,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,15,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,17,2019-09-28
134,Nick Pope,BUR,G,-1.74,1,1,90,0,0,0,16,3,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,29,2019-09-28
135,Michael McGovern,NOR,G,-1.82,1,0,68,0,0,0,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,9,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,14,2019-09-28
136,Tom Heaton,AVL,G,-1.86,1,1,90,0,0,0,10,3,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,2019-09-28
137,Lukasz Fabianski,WHU,G,-1.92,1,1,34,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,2019-09-28
138,Kasper Schmeichel,LEI,G,10.34,1,1,90,90,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2019-09-29
139,Martin Dubravka,NEW,G,-7.7,1,1,90,0,0,0,14,6,5,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,0,0,0,1,1,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,14,2019-09-29
140,Bernd Leno,ARS,G,6.34,1,1,90,0,0,0,16,4,1,0,1,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,17,0,0,0,0,0,0,0,2,0,1,0,0,0,7,0,0,0,0,0,0,21,2019-09-30
141,David de Gea,MUN,G,6.3,1,1,90,0,0,0,10,5,1,1,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,10,2019-09-30
142,Mat Ryan,BHA,G,16.52,1,1,90,90,1,1,8,3,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,26,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,15,2019-10-05
143,Nick Pope,BUR,G,14.16,1,1,90,90,1,1,11,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,0,1,1,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,17,2019-10-05
144,Vicente Guaita,CRY,G,11.24,1,1,90,0,1,0,9,5,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,12,0,0,0,1,1,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,24,2019-10-05
145,Ben Foster,WAT,G,11.24,1,1,90,90,0,1,9,3,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,12,0,0,0,2,2,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,23,2019-10-05
146,Tom Heaton,AVL,G,11.22,1,1,90,0,1,0,21,5,1,1,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,11,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,26,2019-10-05
147,Dean Henderson,SHU,G,9.14,1,1,90,90,0,1,8,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,20,2019-10-05
148,Kasper Schmeichel,LEI,G,8.44,1,1,90,0,0,0,18,8,2,2,0,6,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,34,22,0,1,1,1,1,0,0,0,0,0,0,0,0,14,1,1,1,0,0,0,26,2019-10-05
149,Michael McGovern,NOR,G,7.2,1,1,90,0,0,0,22,12,5,3,2,7,4,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,19,10,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,11,2019-10-05
150,Adrian,LIV,G,5.28,1,1,90,0,1,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,14,0,0,0,0,0,0,0,2,0,0,0,0,0,10,1,1,0,0,0,0,17,2019-10-05
151,Jordan Pickford,EVE,G,3.28,1,1,90,0,0,0,9,3,1,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,14,0,0,0,4,4,0,0,3,0,3,0,0,0,7,2,2,0,2,0,0,22,2019-10-05
152,Paulo Gazzaniga,TOT,G,2.54,1,0,82,0,0,0,16,5,2,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,27,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,2019-10-05
153,Roberto Jimenez,WHU,G,-1.7,1,1,90,0,0,0,7,3,2,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,19,2019-10-05
154,Hugo Lloris,TOT,G,-2.0,1,1,8,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019-10-05
155,Martin Dubravka,NEW,G,16.26,1,1,90,90,1,1,12,3,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,13,0,0,0,1,1,0,0,1,0,1,0,0,0,11,2,2,0,1,0,0,23,2019-10-06
156,Bernd Leno,ARS,G,14.3,1,1,90,90,1,1,10,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,15,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,1,0,0,0,0,23,2019-10-06
157,Rui Patricio,WOL,G,14.26,1,1,90,90,1,1,18,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,13,0,0,0,2,2,0,0,1,0,1,0,0,0,6,2,2,0,1,0,0,17,2019-10-06
158,Kepa Arrizabalaga,CHE,G,5.42,1,1,90,0,1,0,10,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,21,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,20,2019-10-06
159,David de Gea,MUN,G,0.36,1,1,90,0,0,0,12,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2019-10-06
160,Aaron Ramsdale,BOU,G,0.3,1,1,90,0,0,0,12,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,10,2019-10-06
161,Angus Gunn,SOU,G,-1.84,1,1,90,0,0,0,13,7,4,3,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,25,2019-10-06
162,Ederson,MCI,G,-5.1,1,1,90,0,0,0,7,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,2019-10-06
163,Jordan Pickford,EVE,G,18.36,1,1,90,90,1,1,8,4,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,18,2019-10-19
164,Ederson,MCI,G,14.42,1,1,90,90,1,1,7,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,0,0,0,1,1,0,0,1,0,1,0,0,0,6,1,1,0,1,0,0,9,2019-10-19
165,Wayne Hennessey,CRY,G,14.22,1,1,90,0,0,0,21,11,2,2,0,9,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,11,0,0,0,2,2,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,28,2019-10-19
166,Roberto Jimenez,WHU,G,14.22,1,1,90,0,0,0,19,11,2,1,1,9,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,28,2019-10-19
167,Tom Heaton,AVL,G,12.22,1,1,90,0,1,0,20,5,1,1,0,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,9,2019-10-19
168,Tim Krul,NOR,G,10.56,1,1,90,90,0,1,11,2,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,28,0,0,0,1,1,0,0,2,0,2,0,0,0,12,0,0,0,1,0,0,30,2019-10-19
169,Kasper Schmeichel,LEI,G,10.38,1,1,90,0,1,0,13,4,1,1,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,0,0,0,0,0,0,0,1,0,1,0,0,0,10,1,1,1,0,0,0,15,2019-10-19
170,Kepa Arrizabalaga,CHE,G,10.28,1,1,90,90,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,3,2019-10-19
171,Martin Dubravka,NEW,G,10.26,1,1,90,0,0,0,16,7,1,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,13,0,0,0,1,1,0,0,0,0,0,0,0,0,11,1,1,0,1,0,0,23,2019-10-19
172,Mat Ryan,BHA,G,9.48,1,1,90,0,0,0,24,8,2,2,0,6,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,24,0,0,0,1,1,0,0,1,0,1,0,0,0,8,2,1,0,0,0,0,13,2019-10-19
173,Aaron Ramsdale,BOU,G,7.38,1,1,90,90,0,1,10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,11,2019-10-19
174,Rui Patricio,WOL,G,6.34,1,1,90,0,0,0,14,5,1,1,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,2019-10-19
175,Paulo Gazzaniga,TOT,G,0.32,1,1,90,0,0,0,7,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,2019-10-19
176,Ben Foster,WAT,G,0.12,1,1,90,0,0,0,12,2,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,0,0,0,2,2,1,0,1,0,0,0,0,0,6,2,1,0,0,0,0,36,2019-10-19
177,Nick Pope,BUR,G,-1.8,1,1,90,0,0,0,19,3,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,13,2019-10-19
178,Angus Gunn,SOU,G,-1.9,1,1,90,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,20,2019-10-19
