,Player,Team,Position,FPts,GP,GS,Min,MCS,W,CS,SA,STA,GA,GAIB,GAOB,Sv,SvIB,SvOB,YC,RC,FC,FS,ErS,ErG,Pen,DP,PKGA,PKS,PKF,PKD,PKM,SubOn,SubOff,TkW,DIS,Tu,G,A,KP,PA,AP,C,Int,IntB,CLRA,CLR,CoS,OO,DW,DL,AER,AERL,AC,ACNC,LBA,HCA,HCS,Sm,Pu,OG,SOT,LB,Date
20,Aaron Ramsdale,BOU,G,15.32,1,1,90,0,1,0,21,7,1,0,1,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,16,0,0,0,3,3,0,0,1,0,1,0,0,0,10,2,2,0,2,0,0,32,2019-08-17
21,Jordan Pickford,EVE,G,14.38,1,1,90,90,1,1,8,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,19,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,20,2019-08-17
22,Hugo Lloris,TOT,G,13.62,1,1,90,0,0,0,30,10,2,2,0,8,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,31,0,0,0,1,1,0,0,1,1,1,1,0,0,6,1,1,1,1,0,0,17,2019-08-17
23,Nick Pope,BUR,G,11.2,1,1,90,0,0,0,15,9,2,1,1,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,10,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,22,2019-08-17
24,Tim Krul,NOR,G,9.54,1,1,90,0,1,0,12,4,1,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,27,0,0,0,1,1,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,15,2019-08-17
25,Bernd Leno,ARS,G,9.44,1,1,90,0,1,0,18,4,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,0,0,0,1,1,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,6,2019-08-17
26,Adrian,LIV,G,9.42,1,1,90,0,1,0,14,4,1,1,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,21,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,9,2019-08-17
27,Lukasz Fabianski,WHU,G,5.12,1,1,90,0,0,0,16,4,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,6,0,0,0,1,1,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,32,2019-08-17
28,Martin Dubravka,NEW,G,4.26,1,1,90,0,0,0,15,8,3,3,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,15,2019-08-17
29,Angus Gunn,SOU,G,4.12,1,1,90,0,0,0,15,6,2,2,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,0,0,0,1,1,0,0,1,0,1,0,0,0,6,2,1,0,0,0,0,19,2019-08-17
30,Mat Ryan,BHA,G,2.44,1,1,90,0,0,0,8,3,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,2019-08-17
31,Ben Foster,WAT,G,1.28,1,1,90,0,0,0,12,2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,14,0,0,0,0,0,0,0,2,0,2,0,0,0,7,0,0,0,0,0,0,26,2019-08-17
32,Tom Heaton,AVL,G,-0.26,1,1,90,0,0,0,12,4,2,1,1,2,2,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,19,12,0,0,0,0,0,0,0,1,1,1,0,0,0,4,1,0,0,0,0,0,10,2019-08-17
33,Ederson,MCI,G,-3.4,1,1,90,0,0,0,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,8,2019-08-17
34,Dean Henderson,SHU,G,18.22,1,1,90,90,1,1,6,4,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,0,0,0,1,1,0,0,1,0,1,0,0,0,7,1,1,0,1,0,0,15,2019-08-18
35,Kasper Schmeichel,LEI,G,6.5,1,1,90,0,0,0,14,5,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,25,0,0,0,1,1,0,0,1,0,1,0,0,0,9,0,0,0,1,0,0,18,2019-08-18
36,Kepa Arrizabalaga,CHE,G,3.48,1,1,90,0,0,0,12,3,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,30,24,0,0,0,1,1,0,0,1,1,0,0,0,0,7,1,1,1,0,0,0,13,2019-08-18
37,Vicente Guaita,CRY,G,2.46,1,1,90,0,0,0,15,3,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,23,0,0,0,4,4,0,0,2,0,2,0,0,0,3,1,1,0,2,0,0,11,2019-08-18
38,Rui Patricio,WOL,G,3.16,1,1,90,0,0,0,9,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,18,2019-08-19
39,David de Gea,MUN,G,0.32,1,1,90,0,0,0,6,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,0,0,0,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,2019-08-19
40,Tom Heaton,AVL,G,12.36,1,1,90,90,1,1,12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,18,0,0,0,1,1,0,0,0,0,0,0,0,0,9,1,1,0,1,0,0,24,2019-08-23
41,Jordan Pickford,EVE,G,-1.64,1,1,90,0,0,0,7,3,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,2019-08-23
42,Angus Gunn,SOU,G,18.18,1,1,90,90,1,1,12,3,0,0,0,3,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,19,2019-08-24
43,Ben Foster,WAT,G,9.36,1,1,90,0,0,0,16,10,3,3,0,7,6,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,20,18,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,1,1,0,0,0,7,2019-08-24
44,Adrian,LIV,G,7.36,1,1,90,0,1,0,9,3,1,1,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,8,2019-08-24
45,Kepa Arrizabalaga,CHE,G,7.34,1,1,90,0,1,0,6,5,2,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,2019-08-24
46,Lukasz Fabianski,WHU,G,7.14,1,1,90,0,1,0,23,3,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,0,0,0,1,1,0,0,0,1,0,0,0,0,7,2,2,0,1,0,0,21,2019-08-24
47,Vicente Guaita,CRY,G,5.78,1,1,90,0,1,0,22,3,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,14,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,37,2019-08-24
48,Kasper Schmeichel,LEI,G,5.54,1,1,90,0,1,0,7,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,27,0,0,0,0,0,0,0,0,1,0,1,0,0,7,1,1,0,0,0,0,15,2019-08-24
49,Tim Krul,NOR,G,5.42,1,1,90,0,0,0,23,8,3,2,1,5,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,21,0,0,0,2,2,0,0,2,0,2,0,0,0,3,0,0,0,1,0,0,18,2019-08-24
50,Mat Ryan,BHA,G,0.34,1,1,90,0,0,0,12,4,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13,2019-08-24
51,Bernd Leno,ARS,G,-1.62,1,1,90,0,0,0,25,5,3,3,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,22,19,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,3,2019-08-24
52,David de Gea,MUN,G,-1.8,1,1,90,0,0,0,5,3,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,2019-08-24
53,Dean Henderson,SHU,G,-3.88,1,1,90,0,0,0,10,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,22,2019-08-24
54,Martin Dubravka,NEW,G,14.12,1,1,90,90,1,1,17,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,0,1,1,1,1,0,0,1,0,1,0,0,0,6,1,1,0,1,0,0,21,2019-08-25
55,Ederson,MCI,G,13.28,1,1,90,0,1,0,10,7,1,0,1,6,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,1,1,0,0,2,1,2,0,0,0,3,3,2,0,1,0,0,3,2019-08-25
56,Rui Patricio,WOL,G,4.26,1,1,90,0,0,0,13,4,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,0,0,0,1,1,0,0,1,1,1,1,0,0,5,1,1,0,1,0,0,13,2019-08-25
57,Hugo Lloris,TOT,G,2.32,1,1,90,0,0,0,8,3,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,3,2019-08-25
58,Nick Pope,BUR,G,2.12,1,1,90,0,0,0,17,3,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,32,6,0,0,0,0,0,0,0,2,0,2,0,0,0,5,3,3,0,0,0,0,31,2019-08-25
59,Aaron Ramsdale,BOU,G,-1.68,1,1,90,0,0,0,18,5,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,16,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,29,2019-08-25
60,Lukasz Fabianski,WHU,G,16.42,1,1,90,90,1,1,8,3,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,23,2019-08-31
61,Vicente Guaita,CRY,G,15.28,1,1,90,90,1,1,10,2,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,0,0,0,1,1,0,0,1,0,1,0,0,0,3,0,0,0,1,0,0,10,2019-08-31
62,Adrian,LIV,G,14.5,1,1,90,90,1,1,7,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,25,0,0,0,1,1,0,0,1,0,1,0,0,0,7,0,0,1,1,0,0,20,2019-08-31
63,Ederson,MCI,G,12.34,1,1,90,90,1,1,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,0,0,0,2,2,0,0,1,0,1,0,0,0,4,0,0,0,1,0,0,9,2019-08-31
64,Angus Gunn,SOU,G,12.18,1,1,90,0,0,0,21,8,1,1,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,21,2019-08-31
65,Tom Heaton,AVL,G,6.42,1,1,90,0,0,0,22,5,1,1,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,21,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,17,2019-08-31
66,Kasper Schmeichel,LEI,G,6.38,1,1,90,0,1,0,8,2,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,19,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,15,2019-08-31
67,Tim Krul,NOR,G,6.28,1,1,90,0,0,0,18,7,2,2,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,0,0,0,3,3,0,0,2,0,2,0,0,0,2,0,0,0,2,0,0,7,2019-08-31
68,Ben Foster,WAT,G,6.26,1,1,90,0,0,0,13,5,1,1,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,13,0,0,0,2,2,1,0,2,0,1,0,0,0,7,1,1,0,0,0,0,30,2019-08-31
69,Nick Pope,BUR,G,5.22,1,1,90,0,0,0,16,8,3,1,2,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,11,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,27,2019-08-31
70,Martin Dubravka,NEW,G,4.1,1,1,90,0,0,0,13,4,1,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,2019-08-31
71,Dean Henderson,SHU,G,2.34,1,1,90,0,0,0,13,5,2,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,17,0,0,0,1,1,0,0,1,0,1,0,0,0,8,0,0,0,1,0,0,25,2019-08-31
72,Kepa Arrizabalaga,CHE,G,0.66,1,1,90,0,0,0,9,4,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,2019-08-31
73,David de Gea,MUN,G,0.28,1,1,90,0,0,0,10,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,0,0,0,1,1,0,0,1,0,1,0,0,0,3,0,0,1,1,0,0,10,2019-08-31
