,Player,Team,Position,FPts,GP,GS,Min,G,GOF,A,KP,ABS,AFKG,AHW,AOG,APL,APKG,AR,ASOP,S,SOT,SOP,SB,Tk,TkW,TLM,Tu,DIS,PLC,FC,FS,ErS,ErG,YC,RC,RCR,HB,Pen,DP,Off,PA,AP,SFTP,C,AC,ACNC,CF,CK,CIB,CF.1,CC,FKS,Int,IntB,CLRA,CLR,CoA,CoS,CSLM,BC,BS,DW,DL,AER,AERL,BCC,BCM,BCS,BR,FKG,FKM,PL,LB,LBA,SubOn,SubOff,PKG,PKA,PKM,PKD,OG,GAO,SAO,CS,CS.1,MCS,CSD,Date
795,Isaac Hayden,NEW,M,10.06,1,1,90,0,1,1,1,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,1,9,1,0,0,0,1,0,0,0,0,0,0,49,43,7,1,0,0,1,0,0,1,0,0,1,0,1,1,2,1,0,0,0,4,5,2,1,1,0,0,7,0,0,9,4,1,0,0,0,0,0,0,0,1,13,0,0,0,0,2019-08-31
796,Danny Ings,SOU,F,9.48,1,1,77,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,3,2,0,3,0,20,0,2,0,0,0,0,0,0,0,0,0,17,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,8,9,2,5,0,0,0,3,0,0,20,2,0,0,1,0,0,0,0,0,1,14,0,0,0,0,2019-08-31
797,Cesar Azpilicueta,CHE,D,9.36,1,1,90,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,20,1,0,0,0,0,0,0,0,0,0,0,94,78,9,4,2,2,2,0,0,0,1,0,3,1,1,1,1,1,0,1,0,5,7,1,5,1,0,0,1,0,0,20,5,2,0,0,0,0,0,0,0,2,9,0,0,0,0,2019-08-31
798,Caglar Soyuncu,LEI,D,9.06,1,1,90,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,0,15,0,1,1,0,0,0,0,0,0,0,0,82,68,2,1,0,0,1,0,0,0,1,0,2,0,3,3,1,1,0,0,0,7,1,1,1,0,0,0,4,0,0,15,15,6,0,0,0,0,0,0,0,1,8,0,0,0,0,2019-08-31
799,Jetro Willems,NEW,D,8.96,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,0,0,1,13,0,2,0,0,0,0,0,0,0,0,0,38,33,9,4,0,0,4,0,0,1,0,0,1,0,1,1,2,2,0,0,0,7,4,0,1,0,0,0,5,0,0,13,2,0,0,0,0,0,0,0,0,1,13,0,0,0,0,2019-08-31
800,Oliver Norwood,SHU,M,8.9,1,1,90,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,2,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0,62,55,9,4,1,0,3,4,1,0,0,0,1,0,1,1,0,0,0,0,0,5,1,1,0,0,0,0,8,0,0,11,16,13,0,0,0,0,0,0,0,2,13,0,0,0,0,2019-08-31
801,Patrick van Aanholt,CRY,D,8.86,1,1,90,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,48,38,12,3,1,1,2,0,0,2,0,0,0,0,3,3,2,0,0,0,1,3,4,1,0,0,0,0,5,0,0,18,2,2,0,0,0,0,0,0,0,0,10,1,1,90,1,2019-08-31
802,Frederic Guilbert,AVL,D,8.78,1,1,90,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,1,0,1,3,21,3,2,1,0,1,0,0,0,0,0,0,33,24,5,4,1,1,3,0,0,1,2,0,5,1,1,1,2,2,0,1,0,9,9,4,3,0,0,0,8,0,0,21,6,1,0,0,0,0,0,0,0,1,22,0,0,0,0,2019-08-31
803,Oriol Romeu,SOU,M,8.7,1,1,90,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,7,6,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,45,35,9,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,7,6,0,2,0,0,0,11,0,0,10,8,3,0,0,0,0,0,0,0,1,21,0,0,0,0,2019-08-31
804,Andrew Robertson,LIV,D,8.6,1,1,90,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,68,55,13,5,0,0,5,0,0,1,1,0,2,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,22,8,2,0,0,0,0,0,0,0,0,7,1,1,90,1,2019-08-31
805,Cheikhou Kouyate,CRY,M,8.58,1,1,90,0,1,0,1,0,0,0,0,0,0,0,0,6,1,0,0,1,1,0,1,0,11,3,1,0,0,1,0,0,0,0,0,0,28,19,7,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,4,4,0,0,0,0,2,0,0,11,3,1,0,0,0,0,0,0,0,0,10,1,1,90,0,2019-08-31
806,Luke Freeman,SHU,M,8.36,1,1,79,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,5,11,0,2,0,0,0,0,0,0,0,0,0,26,23,11,2,0,0,2,0,0,1,0,0,3,0,1,1,2,1,0,0,0,6,10,1,2,0,0,0,5,0,0,11,1,0,0,1,0,0,0,0,0,2,11,0,0,0,0,2019-08-31
807,Wilfried Zaha,CRY,"M,F",8.22,1,1,90,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,2,1,0,2,3,15,4,3,0,0,0,0,0,0,0,0,0,35,31,17,3,0,0,3,0,0,2,0,0,1,0,0,0,6,3,0,0,0,8,10,0,0,0,0,0,7,0,0,15,0,0,0,0,0,0,0,0,0,0,10,1,1,90,0,2019-08-31
808,Mark Noble,WHU,M,8.12,1,1,85,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,2,2,14,3,2,0,0,0,0,0,0,0,0,0,55,46,12,1,1,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,10,8,1,0,0,0,0,4,0,0,14,6,5,0,1,0,0,0,0,0,0,6,1,1,85,0,2019-08-31
809,Joel Ward,CRY,D,7.98,1,1,90,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,45,39,16,1,1,1,0,0,0,0,1,0,1,0,3,3,0,0,0,2,0,3,2,1,1,0,0,0,6,0,0,6,4,3,0,0,0,0,0,0,0,0,10,1,1,90,1,2019-08-31
810,Paul Pogba,MUN,M,7.5,1,1,90,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,1,3,0,0,0,0,0,0,0,0,0,62,50,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,8,6,1,1,0,0,0,10,0,0,20,8,3,0,0,0,0,0,0,0,1,10,0,0,0,0,2019-08-31
811,Oleksandr Zinchenko,MCI,"D,M",7.26,1,1,90,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,1,14,2,0,0,0,0,0,0,0,0,0,0,77,68,22,2,0,0,2,0,0,0,0,0,1,0,2,2,2,1,0,0,0,6,4,3,0,0,0,0,5,0,0,14,3,3,0,0,0,0,0,0,0,0,6,1,1,90,1,2019-08-31
812,Mason Mount,CHE,"M,F",7.08,1,1,90,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,1,1,9,2,1,0,0,0,0,0,0,0,0,0,28,24,9,3,1,0,2,3,1,1,0,0,1,0,1,1,3,2,0,0,0,5,4,1,0,0,0,0,2,0,0,9,2,2,0,0,0,0,0,0,0,2,9,0,0,0,0,2019-08-31
813,Emerson,CHE,D,7.04,1,1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,1,0,0,0,0,0,0,0,0,0,83,72,11,3,0,0,3,0,0,0,0,0,5,0,2,2,0,0,0,0,0,3,2,2,2,0,0,0,8,0,0,15,8,6,0,0,0,0,0,0,0,2,9,0,0,0,0,2019-08-31
814,Jordan Henderson,LIV,M,6.96,1,1,71,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13,2,1,0,0,0,0,0,0,0,0,0,32,23,9,5,1,1,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,3,0,0,1,0,0,5,0,0,13,6,4,0,1,0,0,0,0,0,0,4,1,1,71,0,2019-08-31
815,Marco Stiepermann,NOR,M,6.96,1,1,77,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,3,2,0,0,2,10,1,2,0,0,0,0,0,0,0,0,0,29,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6,8,0,3,0,0,0,3,0,0,10,1,1,0,1,0,0,0,0,0,2,9,0,0,0,0,2019-08-31
816,Cedric Soares,SOU,"D,M",6.94,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,29,22,6,5,1,1,4,0,0,0,0,0,2,0,3,3,0,0,0,1,0,3,3,1,2,0,0,0,1,0,0,14,6,3,0,0,0,0,0,0,0,1,21,0,0,0,0,2019-08-31
817,Miguel Almiron,NEW,"M,F",6.92,1,1,90,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,4,2,15,0,3,0,0,0,0,0,0,0,0,5,33,26,8,2,0,0,2,0,0,1,0,0,0,0,1,1,2,2,0,0,0,8,3,1,1,0,0,0,4,0,0,15,1,0,0,0,0,0,0,0,0,1,13,0,0,0,0,2019-08-31
818,Rodrigo,MCI,M,6.82,1,1,90,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,69,66,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,6,2,0,0,1,0,0,9,0,0,4,5,5,0,0,0,0,0,0,0,0,6,1,1,90,0,2019-08-31
819,Jorginho,CHE,M,6.64,1,1,90,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,1,18,1,2,0,0,0,0,0,0,0,0,0,86,72,16,1,0,0,1,0,0,0,0,0,2,0,3,3,2,2,0,1,0,8,4,0,1,0,0,0,12,0,0,18,11,4,0,0,0,0,0,0,0,2,9,0,0,0,0,2019-08-31
820,Marc Albrighton,LEI,"M,F",6.58,1,1,64,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,15,1,1,0,0,1,0,0,0,0,0,1,24,14,3,4,1,1,3,0,0,1,0,0,1,0,0,0,2,1,0,0,0,4,5,0,1,0,0,0,4,0,0,15,3,1,0,1,0,0,0,0,0,1,7,0,0,0,0,2019-08-31
821,Juan Mata,MUN,"M,F",6.54,1,1,68,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,31,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,0,0,2,0,0,6,2,1,0,1,0,0,0,0,0,1,10,0,0,0,0,2019-08-31
822,Todd Cantwell,NOR,M,6.5,1,1,78,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,9,1,4,0,0,0,0,0,0,0,0,1,32,25,5,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,1,0,7,8,0,2,0,1,0,4,0,0,9,2,0,0,1,0,0,0,0,0,2,9,0,0,0,0,2019-08-31
823,Joel Matip,LIV,D,6.4,1,1,90,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,3,0,0,0,0,0,0,0,0,0,64,45,3,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,1,5,3,3,0,0,0,0,11,0,0,19,12,4,0,0,0,0,0,0,0,0,7,1,1,90,1,2019-08-31
824,Jack Cork,BUR,M,6.38,1,1,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,13,0,2,0,0,0,0,0,0,0,0,0,28,19,3,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,5,6,0,4,0,0,0,7,0,0,13,2,1,0,0,0,0,0,0,0,3,16,0,0,0,0,2019-08-31
825,Ashley Young,MUN,D,6.36,1,1,90,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,23,1,1,0,0,1,0,0,0,0,0,0,70,58,15,6,0,0,6,3,0,0,1,0,0,0,3,3,0,0,0,0,0,3,4,2,2,0,0,0,5,0,0,23,4,2,0,0,0,0,0,0,0,1,10,0,0,0,0,2019-08-31
826,Wilfred Ndidi,LEI,M,6.24,1,1,90,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,10,1,0,0,0,0,0,0,0,0,0,0,46,37,4,0,0,0,0,0,0,0,1,0,4,0,6,6,0,0,0,1,1,5,5,1,2,0,0,0,7,0,0,10,8,3,0,0,0,0,0,0,0,1,8,0,0,0,0,2019-08-31
827,Ross Barkley,CHE,M,6.24,1,1,60,0,2,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,2,2,12,0,0,0,0,0,0,0,0,0,0,0,34,27,5,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,3,2,2,0,0,0,0,4,0,0,12,1,0,0,1,0,0,0,0,0,1,5,0,0,0,0,2019-08-31
828,Leandro Trossard,BHA,"M,F",6.1,1,1,74,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,2,0,0,2,1,10,1,0,0,0,0,0,0,0,0,0,0,15,10,5,2,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,2,0,0,0,2,0,0,0,0,10,2,2,0,1,0,0,0,0,0,3,14,0,0,0,0,2019-08-31
829,Ashley Westwood,BUR,M,6.1,1,1,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,19,2,1,0,0,0,0,0,0,0,0,0,38,25,9,3,0,0,3,2,0,1,1,0,1,0,0,0,0,0,0,0,1,3,7,0,1,1,0,0,5,0,0,19,6,1,0,0,0,0,0,0,0,3,16,0,0,0,0,2019-08-31
830,Kevin Danso,SOU,"D,M",6.02,1,1,73,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,14,3,0,0,0,0,1,0,0,0,0,0,26,21,9,3,0,0,3,0,0,0,0,0,2,0,0,0,4,2,0,0,0,5,8,2,3,0,0,0,5,0,0,14,2,0,0,0,0,0,0,0,0,1,12,0,0,0,0,2019-08-31
831,Virgil van Dijk,LIV,D,5.96,1,1,90,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,1,1,0,0,0,0,0,0,0,0,0,88,73,1,0,0,0,0,0,0,0,1,0,0,0,11,11,0,0,0,0,0,13,4,12,2,0,0,0,8,0,0,15,6,1,0,0,0,0,0,0,0,0,7,1,1,90,1,2019-08-31
832,Mateo Kovacic,CHE,M,5.88,1,1,83,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0,8,1,1,1,0,0,0,0,0,0,0,0,64,59,10,1,0,0,1,0,0,0,0,0,1,0,1,1,3,2,0,0,0,5,6,0,2,0,0,0,5,0,0,8,9,6,0,1,0,0,0,0,0,1,7,0,0,0,0,2019-08-31
833,Sofiane Boufal,SOU,"M,F",5.84,1,1,71,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,2,3,1,0,7,3,21,3,0,0,0,0,0,0,1,0,0,0,17,12,6,3,0,0,3,0,0,2,0,0,0,0,0,0,5,2,0,0,0,6,10,1,1,1,0,0,5,0,0,21,2,1,0,1,0,0,0,0,0,1,12,0,0,0,0,2019-08-31
834,Adam Smith,BOU,"D,M",5.68,1,1,64,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,12,2,2,0,0,0,0,0,0,0,0,0,34,24,3,1,0,0,1,0,0,2,0,0,1,0,1,1,4,3,0,1,0,10,5,3,2,0,0,0,5,0,0,12,3,0,0,1,0,0,0,0,0,2,9,0,0,0,0,2019-08-31
835,Nathan Ake,BOU,D,5.66,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,12,0,1,0,0,0,0,0,0,0,0,0,47,38,9,2,0,0,2,0,0,0,0,0,3,0,3,3,0,0,0,0,0,6,0,4,0,0,0,0,2,0,0,12,2,2,0,0,0,0,0,0,0,3,15,0,0,0,0,2019-08-31
836,Teemu Pukki,NOR,F,5.62,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,4,1,0,0,0,0,0,0,0,0,0,1,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,5,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,2019-08-31
837,Solly March,BHA,"M,F",5.54,1,1,90,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,3,12,0,1,0,0,0,0,0,0,0,0,1,37,32,11,2,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,5,1,1,0,0,0,2,0,0,12,3,2,0,0,0,0,0,0,0,4,15,0,0,0,0,2019-08-31
838,James Tarkowski,BUR,D,5.44,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,1,16,1,1,1,0,0,0,0,0,0,0,0,36,22,2,0,0,0,0,0,0,0,1,0,3,1,4,4,1,1,0,0,1,15,4,9,1,0,0,0,7,0,0,16,6,1,0,0,0,0,0,0,0,3,16,0,0,0,0,2019-08-31
839,Ryan Fredericks,WHU,D,5.42,1,1,90,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,19,3,0,1,0,1,0,0,0,0,0,0,37,26,5,2,0,0,2,0,0,3,0,0,1,0,2,2,0,0,0,0,0,5,5,3,0,0,0,0,4,0,0,19,4,1,0,0,0,0,0,0,0,0,8,1,1,90,1,2019-08-31
840,Ricardo Pereira,LEI,"D,M",5.36,1,1,90,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,1,17,1,0,0,0,0,0,0,0,0,0,0,51,43,14,0,0,0,0,0,0,0,0,0,6,0,2,2,4,2,0,0,2,5,7,0,2,0,0,0,9,0,0,17,3,0,0,0,0,0,0,0,0,1,8,0,0,0,0,2019-08-31
841,Andreas Pereira,MUN,M,5.32,1,1,68,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,3,11,0,2,0,0,0,0,0,0,0,0,0,21,16,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,5,9,2,3,0,0,0,2,0,0,11,0,0,0,1,0,0,0,0,0,1,10,0,0,0,0,2019-08-31
842,Wesley,AVL,F,5.26,1,1,85,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,2,0,1,2,5,1,0,0,0,0,0,0,0,0,0,0,15,13,6,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,6,5,4,2,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,1,19,0,0,0,0,2019-08-31
843,Kenny McLean,NOR,M,5.22,1,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,6,3,3,2,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,2019-08-31
844,Christian Pulisic,CHE,"M,F",5.08,1,1,90,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,2,4,13,0,2,0,0,0,0,0,0,0,0,0,35,29,9,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4,0,0,0,8,8,0,1,0,1,0,4,0,0,13,2,0,0,0,0,0,0,0,0,2,9,0,0,0,0,2019-08-31
845,Davy Propper,BHA,M,5.06,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,7,0,2,0,0,0,0,0,0,0,0,0,57,53,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,6,2,0,0,0,0,0,8,0,0,7,2,1,0,0,0,0,0,0,0,4,15,0,0,0,0,2019-08-31
846,Kurt Zouma,CHE,D,4.88,1,1,90,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0,103,94,0,0,0,0,0,0,0,0,1,0,0,0,6,6,0,0,0,0,0,9,2,8,2,0,0,0,4,0,0,9,16,11,0,0,0,0,0,0,1,2,9,0,0,0,0,2019-08-31
847,Demarai Gray,LEI,"M,F",4.86,1,0,26,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,19,18,8,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,1,2,0,0,1,0,0,2,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2019-08-31
848,Georginio Wijnaldum,LIV,M,4.78,1,1,90,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,46,39,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,1,0,0,0,1,0,6,0,0,8,1,1,0,0,0,0,0,0,0,0,7,1,1,90,0,2019-08-31
849,Ashley Barnes,BUR,F,4.68,1,1,73,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,11,3,4,0,0,0,0,0,0,0,0,1,17,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,7,2,4,0,0,0,1,0,0,11,0,0,0,1,0,0,0,0,0,2,13,0,0,0,0,2019-08-31
850,Jordon Ibe,BOU,M,4.66,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,15,13,3,2,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0,0,0,5,0,0,5,0,0,1,0,0,0,0,0,0,1,6,0,0,0,0,2019-08-31
851,Fabinho,LIV,M,4.62,1,1,90,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,1,0,13,3,1,0,0,0,0,0,0,0,0,0,67,56,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,8,2,5,0,0,0,4,0,0,13,10,5,0,0,0,0,0,0,0,0,7,1,1,90,0,2019-08-31
852,Joelinton,NEW,F,4.62,1,1,90,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,5,2,12,1,1,0,0,0,0,0,0,0,0,0,33,31,10,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,2,17,1,11,0,0,0,5,0,0,12,2,2,0,0,0,0,0,0,0,1,13,0,0,0,0,2019-08-31
853,Kiko Femenia,WAT,D,4.62,1,1,90,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,11,1,0,0,0,0,0,0,0,0,0,0,42,36,5,2,1,0,1,1,1,0,0,0,2,0,1,1,0,0,0,0,0,1,3,1,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,2019-08-31
854,Declan Rice,WHU,M,4.58,1,1,90,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,3,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0,33,29,4,0,0,0,0,0,0,0,0,0,3,0,2,2,1,1,0,0,1,7,5,1,0,0,0,0,7,0,0,5,1,1,0,0,0,0,0,0,0,0,8,1,1,90,0,2019-08-31
855,Dan Burn,BHA,D,4.56,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,16,2,1,0,0,0,0,0,0,0,0,0,53,43,5,1,0,0,1,0,0,0,1,0,2,1,1,1,1,1,0,1,0,6,6,2,0,0,0,0,6,0,0,16,5,0,0,0,0,0,0,0,0,4,15,0,0,0,0,2019-08-31
856,Martin Montoya,BHA,"D,M",4.54,1,1,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,8,0,1,0,0,0,0,0,0,0,0,0,48,42,11,1,1,1,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0,7,5,0,3,0,0,0,2,0,0,8,4,4,0,0,0,0,0,0,0,4,15,0,0,0,0,2019-08-31
857,Nicolas Otamendi,MCI,D,4.52,1,1,90,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10,1,0,0,0,0,0,0,0,0,0,0,60,51,2,0,0,0,0,0,0,0,0,0,2,0,4,4,0,0,0,0,1,1,2,0,0,0,0,0,2,0,0,10,9,3,0,0,0,0,0,0,0,0,6,1,1,90,1,2019-08-31
858,Emiliano Buendia,NOR,M,4.5,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,28,1,0,0,0,0,0,0,0,0,0,0,62,50,23,5,0,0,5,2,0,0,0,0,1,0,0,0,3,2,0,0,1,3,15,1,1,0,0,0,6,0,0,28,5,3,0,0,0,0,0,0,0,2,18,0,0,0,0,2019-08-31
859,Erik Pieters,BUR,D,4.5,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,16,0,1,0,0,0,0,0,0,0,0,0,39,25,6,0,0,0,0,0,0,0,1,0,2,0,7,7,0,0,0,0,0,9,1,4,0,0,0,0,9,0,0,16,7,1,0,0,0,0,0,0,0,3,16,0,0,0,0,2019-08-31
860,Chris Basham,SHU,D,4.46,1,1,84,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,9,1,1,0,0,0,0,0,0,0,0,0,31,23,2,0,0,0,0,0,0,0,1,0,1,0,3,3,0,0,0,0,2,3,3,1,1,1,0,0,6,0,0,9,5,1,0,1,0,0,0,0,0,2,12,0,0,0,0,2019-08-31
861,Gary Cahill,CRY,D,4.46,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,9,1,0,0,0,0,0,0,0,0,0,0,54,48,6,0,0,0,0,0,0,1,0,0,0,0,8,8,0,0,0,0,2,3,4,3,4,0,0,0,3,0,0,9,6,3,0,0,0,0,0,0,0,0,10,1,1,90,1,2019-08-31
862,Conor Hourihane,AVL,M,4.4,1,0,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,17,15,9,3,0,0,3,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,5,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,2019-08-31
863,Chris Mepham,BOU,D,4.36,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,8,0,0,0,1,0,0,0,0,0,0,0,37,33,1,1,0,0,1,0,0,0,2,0,4,1,6,6,0,0,0,0,2,4,5,2,3,0,0,0,7,0,0,8,5,2,0,0,0,0,0,0,0,3,15,0,0,0,0,2019-08-31
864,Tom Trybull,NOR,M,4.36,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,3,3,1,0,0,0,0,0,0,0,0,0,70,68,4,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,5,10,1,4,0,0,0,8,0,0,3,3,3,0,0,0,0,0,0,0,2,18,0,0,0,0,2019-08-31
