,Player,Team,Position,FPts,GP,GS,Min,G,GOF,A,KP,ABS,AFKG,AHW,AOG,APL,APKG,AR,ASOP,S,SOT,SOP,SB,Tk,TkW,TLM,Tu,DIS,PLC,FC,FS,ErS,ErG,YC,RC,RCR,HB,Pen,DP,Off,PA,AP,SFTP,C,AC,ACNC,CF,CK,CIB,CF.1,CC,FKS,Int,IntB,CLRA,CLR,CoA,CoS,CSLM,BC,BS,DW,DL,AER,AERL,BCC,BCM,BCS,BR,FKG,FKM,PL,LB,LBA,SubOn,SubOff,PKG,PKA,PKM,PKD,OG,GAO,SAO,CS,CS.1,MCS,CSD,Date
14,Max Aarons,NOR,D,3.36,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,1,13,1,0,0,0,0,0,0,0,0,0,0,25,18,4,0,0,0,0,0,0,0,3,0,1,1,5,5,5,3,0,2,1,7,7,1,3,0,0,0,6,0,0,13,2,0,0,0,0,0,0,0,0,4,16,0,0,0,0,2019-08-09
15,Tom Trybull,NOR,M,2.62,1,1,70,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,6,3,1,0,0,0,0,0,0,0,0,1,35,31,0,0,0,0,0,0,0,0,1,0,1,1,3,3,0,0,0,2,0,5,7,3,0,0,0,0,6,0,0,6,2,2,0,1,0,0,0,0,0,4,13,0,0,0,0,2019-08-09
16,Kenny McLean,NOR,M,2.58,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,5,1,1,0,0,0,0,0,0,0,0,0,32,29,2,0,0,0,0,0,0,0,0,0,1,0,3,3,1,1,0,0,0,4,3,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,2019-08-09
17,Georginio Wijnaldum,LIV,M,2.22,1,1,90,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,2,2,0,0,0,0,0,0,0,0,0,39,36,16,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4,5,1,0,0,0,0,6,0,0,7,3,2,0,0,0,0,0,0,0,1,12,0,0,0,0,2019-08-09
18,Joseph Gomez,LIV,D,1.9,1,1,90,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,54,45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,4,0,0,0,0,4,0,0,9,6,2,0,0,0,0,0,0,0,1,12,0,0,0,0,2019-08-09
19,Onel Hernandez,NOR,M,1.06,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2019-08-09
20,Moritz Leitner,NOR,M,0.78,1,0,32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5,1,1,0,0,1,0,0,0,0,0,0,16,14,5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,4,0,0,0,0,0,2,0,0,5,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,2019-08-09
21,Sadio Mane,LIV,"M,F",0.18,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,11,9,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2019-08-09
22,James Milner,LIV,"D,M",0.04,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2019-08-09
23,Josip Drmic,NOR,F,0.04,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2019-08-09
24,Grant Hanley,NOR,D,-0.02,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,26,24,0,0,0,0,0,0,0,0,1,0,0,0,5,5,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,1,4,16,0,0,0,0,2019-08-09
25,Raheem Sterling,MCI,"M,F",38.02,1,1,90,3,5,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,1,13,3,2,0,0,1,0,0,0,0,0,2,33,26,14,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,5,8,2,2,0,0,3,5,0,0,13,0,0,0,0,0,0,0,0,0,0,5,1,1,90,0,2019-08-10
26,Harry Kane,TOT,F,33.24,1,1,90,2,3,0,2,0,0,0,0,0,0,0,0,8,2,0,3,1,1,0,0,3,10,3,0,0,0,0,0,0,0,0,0,1,21,17,10,2,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,9,1,2,0,0,1,1,0,0,10,2,2,0,0,0,0,0,0,0,1,7,0,0,0,0,2019-08-10
27,Ashley Barnes,BUR,F,27.72,1,1,84,2,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,2,1,11,1,1,0,0,0,0,0,0,0,0,2,19,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0,0,0,11,9,5,7,0,0,1,3,0,0,11,0,0,0,1,0,0,0,0,0,0,10,1,1,84,0,2019-08-10
